Medicamento;Indicação;Dosagem/Apresentação
abatacepte;Artrite idiopática juvenil;250 mg injetável – frasco-ampola (utilização por via intravenosa) –
abatacepte;Artrite reumatóide;125 mg injetável – seringa preenchida (utilização por via subcutânea)
acetazolamida;Glaucoma;250 mg – comprimido
acitretina;Ictioses hereditárias;10 mg – comprimido e 25 mg – comprimido
acitretina;Psoríase;10 mg e 25 mg – cápsula
adalimumabe;Artrite Idiopática Juvenil;40 mg injetável – seringa preenchida; 40 mg injetável – frasco-ampola
adalimumabe;Artrite Psoríaca;40 mg injetável – seringa preenchida
adalimumabe;Artrite Reumatóide;40 mg injetável – seringa preenchida;
adalimumabe;Doença de Crohn;40 mg injetável – seringa preenchida;
adalimumabe;Espondilite Ancilosante;40 mg injetável – seringa preenchida; 40 mg injetável – frasco-ampola
adalimumabe;Hidradenite Supurativa;40 mg injetável – seringa preenchida
adalimumabe;Psoríase;40 mg injetável – seringa preenchida
adalimumabe;Uveíte Não Infecciosa;40 mg injetável - seringa preenchida
alentuzumabe;Esclerose Múltipla;10 mg/mL – frasco ampola 1,2 mL
alfadornase;Fibrose Cística - Manifestações Pulmonares;2,5 mg – ampola.
alfaelosulfase;Mucopolissacaridose do Tipo IV;1mg/ml injetável solução injetável – por frasco ampola de 5ml
alfaepoetina;Anemia em pacientes com insuficiência renal crônica;1.000 UI, 2.000 UI, 3.000 UI, 4.000 UI e 10.000 UI injetável – frasco-ampola
alfaepoetina;Doença Falciforme;1.000 UI, 2.000 UI, 3.000 UI, 4.000 UI e 10.000 UI injetável – frasco-ampola
alfaepoetina;Hepatite Viral C e Coinfecções;10.000 UI injetável – frasco-ampola
alfaepoetina;Imunossupressão no Transplante de Medula ou Pâncreas;1.000 UI, 2.000 UI, 3.000 UI, 4.000 UI e 10.000 UI injetável – frasco-ampola
alfaepoetina;Síndrome Mielodisplásica de baixo risco;10.000 UI injetável – frasco-ampola.
alfagalsidase;Doença de Fabry;1 mg/ml (frasco ampola de 3,5 ml)
alfaglicosidase;Doença de Pompe;50 mg - frasco-ampola
alfainterferona 2b;Hemangioma Infantil;3.000.000 UI, 5.000.000 UI e 10.000.000 UI injetável – frasco-ampola
alfataliglicerase;Doença de Gaucher (E75.2);200 UI injetável – frasco
alfavelaglicerase;Doença de Gaucher;400 U injetável – frasco-ampola
alfavestronidase;Mucopolissacaridose tipo VII;10mg - solução injetável – frasco de 5 mL
amantadina;Doença de Parkinson;100 mg – comprimido
ambrisentana;Hipertensão Arterial Pulmonar;5 mg e 10 mg – comprimido revestido
atorvastatina;Dislipidemia para prevenção de eventos cardiovasculares e pancreatite;10 mg, 20 mg, 40 mg e 80 mg – comprimido
azatioprina;Anemia Aplástica, Mielodisplasia e Neutropenias Constitucionais;50 mg – comprimido
azatioprina;Artrite idiopática juvenil;50 mg – comprimido
azatioprina;Artrite Reumatóide;50 mg – comprimido
azatioprina;Dermatomiosite e Polimiosite;50 mg – comprimido
azatioprina;Doença de Crohn;50 mg – comprimido
azatioprina;Esclerose Múltipla;50 mg – comprimido
azatioprina;Esclerose Sistêmica;50 mg – comprimido
azatioprina;Hepatite Autoimune;50 mg – comprimido
azatioprina;Imunossupressão no Transplante Cardíaco;50 mg – comprimido
azatioprina;Imunossupressão no Transplante Hepático em Adultos;50 mg – comprimido
azatioprina;Imunossupressão no Transplante Renal;50 mg – comprimido
azatioprina;Imunossupressão no Transplantes de Coração e Pulmão;50 mg – comprimido
azatioprina;Imunossupressão no Transplantes de Medula ou Pâncreas;50 mg – comprimido
azatioprina;Imunossupressão noTransplante Hepático em Pediatria;50 mg – comprimido
azatioprina;Lúpus Eritematoso Sistêmico;50 mg – comprimido
azatioprina;Miastenia Gravis;50 mg – comprimido
azatioprina;Púrpura Trombocitopênica Idiopática;50 mg – comprimido
azatioprina;Retocolite Ulcerativa;50 mg – comprimido
azatioprina;Uveites não Infecciosas;50 mg – comprimido
baricitinibe;Artrite Reumatoide;2 mg, 4 mg - comprimido
beclometasona + formoterol + glicopirrônio;DPOC;solução aerossol para inalação oral de 100 µg + 6 µg + 12,5 µg.
betainterferona;Esclerose Múltipla;1A 12.000.000 UI (44 mcg) injetável – seringa preenchida;
bezafibrato;Dislipidemia para prevenção de eventos cardiovasculares e pancreatite;200 mg – drágea ou comprimido e 400 mg – comprimido de desintegração lenta
bimatoprosta;Glaucoma;0,3 mg/mL solução oftálmica – frasco de 3 mL
biotina;Deficiência de Biotinidase;2,5 mg - cápsula
bosentana;Hipertensão Arterial Pulmonar;62,5 mg e 125 mg – comprimido revestido
brimonidina;Glaucoma;2,0 mg/mL solução oftálmica – frasco de 5 mL
brinzolamida;Glaucoma;10 mg/mL suspensão oftálmica – frasco de 5 mL
budesonida;Asma;200 e 400 mcg – cápsula inalante
budesonida;Doença Pulmonar Obstrutiva Crônica;200 e 400 mcg – cápsula inalante
burosumabe;Raquitismo e Osteomalacia;10 mg/mL; 20 mg/mL; 30 mg/mL – Solução injetável.
cabergolina;Acromegalia;0,5 mg – comprimido
cabergolina;Hiperprolactinemia;0,5mg – comprimido
calcipotriol;Psoríase;50 mcg/g (0,005%) pomada – bisnaga de 30g
calcitonina;Doença de Paget;200 UI/dose spray nasal – frasco
calcitonina;Osteoporose;200 UI/dose spray nasal – frasco
calcitriol;Distúrbio Mineral Ósseo na Doença Renal Crônica;0,25 mcg – cápsula;
calcitriol;Hipoparatireoidismo;0,25 mcg – cápsula
calcitriol;Osteoporose;0,25 mcg – cápsula
calcitriol;Raquitismo e Osteomalácia;0,25 mcg – cápsula
certolizumabe pegol;Artrite Psoríaca;200mg/ml injetável (por seringa preenchida)
certolizumabe pegol;Artrite Reumatoide;200 mg/mL injetável – seringa preenchida
certolizumabe pegol;Doença de Crohn;200 mg injetável – seringa pré-preenchida
certolizumabe pegol;Espondilite Ancilosante;200mg/ml injetável – seringa preenchida
ciclofosfamida;Anemia Hemolítica Autoimune;50 mg – drágea
ciclofosfamida;Esclerose sistêmica;50 mg – drágea
ciclofosfamida;Lúpus Eritematoso Sistêmico;50 mg – drágea
ciclofosfamida;Púrpura Trombocitopênica Idiopática;50 mg – drágea
ciclofosfamida;Síndrome de Falência Medular;50 mg – drágea
ciclofosfamida;Síndrome Nefrótica Primária em Adultos;50 mg – drágea
ciclofosfamida;Síndrome Nefrótica Primária em Crianças e Adolescentes;50 mg – drágea
ciclosporina;Anemia Hemolítica Autoimune;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Artrite idiopática juvenil;25 mg, 50 mg e 100 mg – cápsula; 100 mg/ml solução oral – frasco de 50 ml
ciclosporina;Artrite Psoríaca;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Artrite Reumatóide;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Dermatite Atópica;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Dermatomiosite e Polimiosite;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Imunossupressão no Transplante de Coração e Pulmão;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Imunossupressão no Transplante de Medula ou Pâncreas;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Imunossupressão no Transplante Hepático em Adultos;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Imunossupressão no Transplante Renal;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Imunossupressão no Transplante Cardíaco;10mg, 25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Imunossupressão no Transplante Hepático em Pediatria;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Lúpus Eritematoso Sistêmico;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Miastenia Gravis;25 mg, 50 mg e 100 mg – cápsula; 100 mg/ml solução oral – frasco de 50 ml
ciclosporina;Psoríase;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Retocolite Ulcerativa;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Síndrome de Falência Medular;10mg, 25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Síndrome Nefrótica Primária em Adultos;25 mg, 50 mg e 100 mg – cápsula
ciclosporina;Síndrome Nefrótica Primária em Crianças e Adolescentes;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
ciclosporina;Uveítes não infecciosas;25 mg, 50 mg e 100 mg – cápsula; 100 mg/mL solução oral – frasco de 50 mL
cinacalcete;Distúrbio Mineral Ósseo na Doença Renal Crônica;30 mg e 60 mg – comprimido
ciprofibrato;Dislipidemia para prevenção de eventos cardiovasculares e pancreatite;100 mg – comprimido
ciproterona;Puberdade Precoce Central;50 mg – comprimido
ciproterona;Síndrome de Ovários Policísticos e Hirsutismo;50 mg – comprimido
cladribina;Esclerose Múltipla;10 mg – comprimido
clobazam;Epilepsia;10 mg e 20 mg – comprimido
clobetasol;Psoríase;Creme de 0,5 mg/g (bisnaga com 30 g); solução capilar a 0,5 mg/g (frasco com 50 g)
clopidogrel;Síndromes Coronarianas Agudas;75 mg – comprimido
cloroquina;Artrite idiopática juvenil;150 mg – comprimido
cloroquina;Artrite Reumatóide;150 mg – comprimido
cloroquina;Lúpus Eritematoso Sistêmico;150 mg – comprimido
clozapina;Doença de Parkinson;25 mg e 100 mg – comprimido
clozapina;Esquizofrenia;25 mg e 100 mg – comprimido
clozapina;Transtorno Afetivo Bipolar;25 mg e 100 mg – comprimido
clozapina;Transtorno Esquizoafetivo;25 mg e 100 mg – comprimido
codeína;Dor crônica;3 mg/mL solução oral – frasco de 120mL; 30 mg/ml injetável – ampola de 2mL;
complemento alimentar para paciente fenilcetonúrico;Fenilcetonúria;Menor de 1 ano; Maior de 1 ano; e Maior de 8 anos
danazol;Angioedema;100 mg – cápsula 200 mg – cápsula
danazol;Endometriose;100 mg – cápsula; 200 mg – cápsula
danazol;Lúpus Eritematoso Sistêmico;100 mg – cápsula
danazol;Púrpura Trombocitopênica Idiopática;100 mg – cápsula
dapagliflozina;Diabetes Mellitus tipo2;10 mg (POR COMPRIMIDO)
dapagliflozina;Estratégias para Atenuar a Progressão da Doença Renal Crônica;10 mg (por comprimido)
dapagliflozina;Insuficiência Cardíaca com Fração de Ejeção Reduzida;10 mg (por comprimido)
deferasirox;Sobrecarga de Ferro;125 mg, 250 mg e 500 mg – comprimido
deferiprona;Sobrecarga de Ferro;500 mg e 1000mg – comprimido
desferroxamina;Distúrbio Mineral Ósseo na Doença Renal Crônica;500 mg injetável – frasco-ampola
desferroxamina;Sobrecarga de Ferro;500 mg injetável – frasco-ampola
desmopressina;Diabetes Insípido;0,1 mg/ml solução nasal – frasco de 2,5 ml, 0,1 mg (por comprimido) e 0,2 mg (por
donepezila;Doença de Alzheimer;5 mg e 10 mg – comprimido
eculizumabe;Hemoglobinúria Paroxística Noturna;10 mg/ml solução injetável (frasco com 30 ml)
eltrombopague olamina;Púrpura trombocitopênica idiopática;25mg e 50mg – comprimidos revestidos
eltrombopague olamina;Síndrome de Falência Medular;25 mg e 50 mg – comprimido
enoxaparina sódica;Tromboembolismo Venoso em Gestantes com Trombofilia;40 mg/0,4 mL; 60mg/ 0,6mL – seringa preenchida
entacapona;Doença de Parkinson;200 mg – comprimido
etanercepte;Artrite idiopática juvenil;25 mg – frasco-ampola;
etanercepte;Artrite Psoríaca;25 mg – frasco-ampola;
etanercepte;Artrite Reumatóide;25 mg – frasco-ampola;
etanercepte;Espondilite Ancilosante;25 mg injetável – frasco-ampola
etanercepte;Psoríase;25 mg injetável – frasco ampola;
etossuximida;Epilepsia;50 mg/ml xarope – frasco de 120 ml
everolimo;Imunossupressão no Transplante Cardíaco;0,5 m g; 0,75 mg e 1 mg – comp rimido
everolimo;Imunossupressão no Transplante Hepático em Adultos;0,5 mg; 0,75 mg; e 1,0 mg – comprimido
everolimo;Imunossupressão no Transplante Hepático em Pediatria;0,5 mg; 0,75 mg; e 1,0 mg – comprimido
everolimo;Imunossupressão no Transplante Renal;0,5 mg; 0,75 mg; e 1,0 mg – comprimido
fenofibrato;Dislipidemia para prevenção de eventos cardiovasculares e pancreatite;200 mg – cápsula e 250 mg – cápsula de liberação retardada
fenoterol;Asma;100 mcg aerossol – frasco de 200 doses
fenoterol;Doença Pulmonar Obstrutiva Crônica;100 mcg aerossol – frasco de 200 doses
filgrastim;Doença pelo HIV resultando em outras doenças;300 mcg injetável – frasco
filgrastim;Hepatite Viral C e Coinfecções;300 mcg injetável – frasco
filgrastim;Síndrome de Falência Medular;300 mcg injetável – frasco
fingolimode;Esclerose múltipla;0,5 mg – cápsula
fludrocortisona;Hiperplasia Adrenal Congênita;0,1 mg – comprimido
fludrocortisona;Insuficiência Adrenal Primária - Doença de Addison;0,1 mg – comprimido
formoterol;Asma;12 mcg – cápsula inalante
formoterol;Doença Pulmonar Obstrutiva Crônica;12 mcg – cápsula inalante
formoterol + budesonida;Asma;Formoterol 12 mcg+ Budesonida 400 mcg – cápsula inalante ou pó inalante e
formoterol + budesonida;Doença Pulmonar Obstrutiva Crônica;Formoterol 12 mcg+ Budesonida 400 mcg – cápsula inalante ou pó inalante e
fumarato de dimetila;Esclerose Múltipla;120mg e 240mg – cápsula
furoato de fluticasona + brometo de umeclidínio + trifenato de vilanterol;DPOC;pó para inalação oral 100 mcg + 62,5 mcg + 25 mcg.
gabapentina;Dor Crônica;300 mg e 400 mg – cápsula
gabapentina;Epilepsia;300 mg e 400 mg – cápsula
galantamina;Doença de Alzheimer;8 mg, 16 mg e 24 mg – cápsula de liberação prolongada
galsulfase;Mucopolissacaridose tipo VI;1 mg/ml injetável - frasco com 5 ml
genfibrozila;Dislipidemia para prevenção de eventos cardiovasculares e pancreatite;600 mg e 900 mg – comprimido
glatiramer;Esclerose múltipla;40 mg injetável – frasco-ampola ou seringa preenchida
golimumabe;Artrite Psoríaca;50 mg injetável – seringa preenchida
golimumabe;Artrite Reumatóide;50 mg injetável – seringa preenchida
golimumabe;Espondilite Ancilosante;50 mg injetável – seringa preenchida
gosserrelina;Endometriose;3,6 mg e 10,8 mg injetável – seringa preenchida
