Medicamento;Dosagem
abatacepte;125 mg injetável
abatacepte;250 mg injetável
acetazolamida;250 mg
acitretina;10 mg
acitretina;25 mg
adalimumabe;40 mg injetável
alentuzumabe;10 mg/mL
alfadornase;2,5 mg
alfaelosulfase;1 mg/mL solução injetável
alfaepoetina;1.000 UI injetável
alfaepoetina;10.000 UI injetável
alfaepoetina;2.000 UI injetável
alfaepoetina;3.000 UI injetável
alfaepoetina;4.000 UI injetável
alfagalsidase;1 mg/mL
alfaglicosidase;50 mg
alfainterferona 2b;10.000.000 UI injetável
alfainterferona 2b;3.000.000 UI injetável
alfainterferona 2b;5.000.000 UI injetável
alfataliglicerase;200 UI injetável
alfavelaglicerase;400 U injetável
alfavestronidase;10 mg solução injetável
amantadina;100 mg
ambrisentana;10 mg
ambrisentana;5 mg
atorvastatina;10 mg
atorvastatina;20 mg
atorvastatina;40 mg
atorvastatina;80 mg
azatioprina;50 mg
baricitinibe;2 mg
baricitinibe;4 mg
beclometasona + formoterol + glicopirrônio;100 µg + 6 µg + 12,5 µg solução aerossol para inalação oral
betainterferona;12.000.000 UI injetável
betainterferona;44 mcg injetável
bezafibrato;200 mg
bezafibrato;400 mg
bimatoprosta;0,3 mg/mL solução oftálmica
biotina;2,5 mg
bosentana;125 mg
bosentana;62,5 mg
brimonidina;2,0 mg/mL solução oftálmica
brinzolamida;10 mg/mL suspensão oftálmica
budesonida;400 mcg cápsula inalante
burosumabe;10 mg/mL solução injetável
burosumabe;20 mg/mL solução injetável
burosumabe;30 mg/mL solução injetável
cabergolina;0,5 mg
calcipotriol;50 mcg pomada
calcitonina;200 UI spray nasal
calcitriol;0,25 mcg cápsula
certolizumabe pegol;200 mg injetável
ciclofosfamida;50 mg
ciclosporina;10 mg
ciclosporina;100 mg
ciclosporina;100 mg/mL solução oral
ciclosporina;25 mg
ciclosporina;50 mg
cinacalcete;30 mg
cinacalcete;60 mg
ciprofibrato;100 mg
ciproterona;50 mg
cladribina;10 mg
clobazam;10 mg
clobazam;20 mg
clobetasol;0,5 mg/g creme
clobetasol;0,5 mg/g solução capilar
clopidogrel;75 mg
cloroquina;150 mg
clozapina;100 mg
clozapina;25 mg
codeína;3 mg/mL solução oral
codeína;30 mg/mL injetável
danazol;100 mg
danazol;200 mg
dapagliflozina;10 mg
deferasirox;125 mg
deferasirox;250 mg
deferasirox;500 mg
deferiprona;1000 mg
deferiprona;500 mg
desferroxamina;500 mg injetável
desmopressina;0,1 mg solução nasal
desmopressina;0,1 mg/mL solução nasal
desmopressina;0,2 mg solução nasal
donepezila;10 mg
donepezila;5 mg
eculizumabe;10 mg/mL solução injetável
eltrombopague olamina;25 mg
eltrombopague olamina;50 mg
enoxaparina sódica;40 mg
enoxaparina sódica;60 mg
entacapona;200 mg
etanercepte;25 mg injetável
etossuximida;50 mg/mL xarope
everolimo;0,5 mg
everolimo;0,75 mg
everolimo;1 mg
fenofibrato;200 mg
fenofibrato;250 mg
fenoterol;100 mcg aerossol
filgrastim;300 mcg injetável
fingolimode;0,5 mg
fludrocortisona;0,1 mg
formoterol;12 mcg cápsula inalante
formoterol + budesonida;12 mcg + 400 mcg cápsula inalante
fumarato de dimetila;120 mg
fumarato de dimetila;240 mg
furoato de fluticasona + brometo de umeclidínio + trifenato de vilanterol;100 mcg + 62,5 mcg + 25 mcg pó para inalação
gabapentina;300 mg
gabapentina;400 mg
galantamina;16 mg
galantamina;24 mg
galantamina;8 mg
galsulfase;1 mg/mL injetável
genfibrozila;600 mg
genfibrozila;900 mg
glatiramer;40 mg injetável
golimumabe;50 mg injetável
gosserrelina;10,8 mg injetável
gosserrelina;3,6 mg injetável
hidroxicloroquina;400 mg
hidroxiuréia;100 mg
hidroxiuréia;500 mg
idursulfase alfa;2 mg/mL injetável
iloprosta;10 mcg/mL solução para nebulização
imiglucerase;400 UI injetável
imunoglobulina humana;0,5 g injetável
imunoglobulina humana;1 g injetável
imunoglobulina humana;2,5 g injetável
imunoglobulina humana;5,0 g injetável
infliximabe;10 mg/mL injetável
infliximabe;100 mg injetável
insulina análoga de ação prolongada;100 UI/mL
insulina análoga de ação rápida;100 UI/mL
isotretinoína;10 mg
isotretinoína;20 mg
ivacaftor;150 mg
ivacaftor / elexacaftor / tezacaftor + ivacaftor;25 mg
ivacaftor / elexacaftor / tezacaftor + ivacaftor;37,5 mg
ivacaftor / elexacaftor / tezacaftor + ivacaftor;50 mg
lamotrigina;100 mg
lamotrigina;25 mg
lamotrigina;50 mg
lanreotida;120 mg injetável
lanreotida;60 mg injetável
lanreotida;90 mg injetável
laronidase;0,58 mg/mL injetável
latanoprosta;0,05 mg/mL solução oftálmica
leflunomida;20 mg
leuprorrelina;3,75 mg injetável
leuprorrelina;3,75 mg pó para suspensão injetável
leuprorrelina;45 mg pó para suspensão injetável
levetiracetam;100 mg/mL solução oral
levetiracetam;1000 mg
levetiracetam;250 mg
levetiracetam;500 mg
levetiracetam;750 mg
memantina;10 mg
mepolizumabe;100 mg/mL solução injetável
mesalazina;400 mg
mesalazina;500 mg
mesalazina;800 mg
metadona;10 mg
metadona;10 mg/mL injetável
metadona;5 mg
metilprednisolona;500 mg injetável
metotrexato;2,5 mg
metotrexato;25 mg/mL injetável
micofenolato de mofetila;500 mg
micofenolato de sódio;180 mg
micofenolato de sódio;360 mg
miglustate;100 mg
morfina;10 mg/mL injetável
morfina;10 mg/mL solução oral
naproxeno;250 mg
naproxeno;500 mg
natalizumabe;300 mg
nusinersena;2,4 mg/mL solução injetável
octreotida;0,1 mg/mL injetável
octreotida;10 mg injetável
octreotida;20 mg injetável
octreotida;30 mg injetável
olanzapina;10 mg
olanzapina;5 mg
omalizumabe;150 mg
pamidronato;60 mg injetável
pancreatina;10.000 UI cápsula
pancreatina;25.000 UI cápsula
paricalcitol;5,0 mcg/mL
penicilamina;250 mg
pilocarpina;20 mg/mL solução oftálmica
piridostigmina;60 mg
pramipexol;0,125 mg
pramipexol;0,25 mg
pramipexol;1 mg
pravastatina;10 mg
pravastatina;20 mg
pravastatina;40 mg
primidona;100 mg
primidona;250 mg
quetiapina;100 mg
quetiapina;200 mg
quetiapina;25 mg
quetiapina;300 mg
raloxifeno;60 mg
rasagilina;1 mg
riluzol;50 mg
risanquizumabe;150 mg/mL
risdiplam;0,75 mg/mL solução oral
risedronato;35 mg
risperidona;1 mg
risperidona;1 mg/mL solução oral
risperidona;2 mg
risperidona;3 mg
rituximabe;500 mg injetável
rivastigmina;1,5 mg
rivastigmina;3 mg
rivastigmina;4,5 mg
rivastigmina;6 mg
sacarato de hidróxido férrico;100 mg injetável
sacubitril valsartana;100 mg
sacubitril valsartana;200 mg
sacubitril valsartana;50 mg
sapropterina;100 mg
secuquinumabe;150 mg/mL solução injetável
selexipague;1000 mcg
selexipague;1200 mcg
selexipague;1400 mcg
selexipague;200 mcg
selexipague;400 mcg
selexipague;600 mcg
selexipague;800 mcg
sevelamer;800 mg
sildenafila;20 mg
sildenafila;25 mg
sildenafila;50 mg
sirolimo;1 mg
sirolimo;2 mg
somatropina;1,33 mg solução injetável
somatropina;4 UI solução injetável
sulfassalazina;500 mg
tacrolimo;1 mg
tacrolimo;5 mg
tafamidis;20 mg
tafamidis;61 mg
teriflunomida;14 mg
timolol;5,0 mg/mL solução oftálmica
tiotrópio + olodaterol;2,5 mcg + 2,5 mcg
tobramicina;300 mg solução para inalação
tocilizumabe;20 mg/mL injetável
tofacitinibe;5 mg
topiramato;100 mg
topiramato;25 mg
topiramato;50 mg
toxina botulínica tipo a;100 UI injetável
toxina botulínica tipo a;500 UI injetável
travoprosta;0,04 mg/mL solução oftálmica
trientina;250 mg
triexifenidil;5 mg
triptorrelina;11,25 mg injetável
triptorrelina;11,25 mg pó para suspensão injetável
triptorrelina;22,5 mg pó para suspensão injetável
triptorrelina;3,75 mg injetável
triptorrelina;3,75 mg pó para suspensão injetável
umeclidínio + vilanterol;62,5 mcg + 25 mcg
upadacitinibe;15 mg
ustequinumabe;45 mg injetável
vedolizumabe;300 mg/mL injetável
vigabatrina;500 mg
ziprasidona;40 mg
ziprasidona;80 mg
ácido ursodesoxicólico;150 mg
ácido ursodesoxicólico;300 mg
ácido ursodesoxicólico;50 mg
ácido zoledrônico;5 mg
